Set,Label,Frequency
train,lemur,151
train,snake,151
train,elephant,201
train,frog,218
train,chimpanzee,151
train,chinchilla,151
train,flamingo,151
train,mongoose,151
train,ostrich,151
train,ferret,151
train,camel,151
train,bee,151
train,mole,123
train,penguin,151
train,leopard,151
train,hawk,151
train,hedgehog,151
train,walrus,151
train,falcon,151
train,grasshopper,151
train,beaver,151
train,antelope,151
train,giraffe,151
train,duck,151
train,lizard,151
train,crab,151
train,goose,151
train,gorilla,151
train,jaguar,130
train,sheep,151
train,lynx,151
train,butterfly,151
train,panda,151
train,goat,151
train,deer,151
train,peacock,151
train,dog,319
train,whale,151
train,kangaroo,151
train,seal,151
train,cheetah,151
train,cow,151
train,iguana,151
train,hippopotamus,151
train,fox,151
train,cat,302
train,donkey,151
train,raccoon,151
train,blackbird,151
train,buffalo,151
train,koala,151
train,crocodile,151
train,dolphin,151
train,hyena,151
train,porcupine,151
train,bear,151
train,squid,150
train,spider,151
train,eagle,151
train,bison,151
train,owl,151
train,otter,151
train,snail,151
train,wolf,151
validation,lemur,21
validation,snake,21
validation,elephant,28
validation,frog,31
validation,chimpanzee,21
validation,chinchilla,21
validation,flamingo,21
validation,mongoose,21
validation,ostrich,21
validation,ferret,21
validation,camel,21
validation,bee,21
validation,mole,17
validation,penguin,21
validation,leopard,21
validation,hawk,21
validation,hedgehog,21
validation,walrus,21
validation,falcon,21
validation,grasshopper,21
validation,beaver,21
validation,antelope,21
validation,giraffe,21
validation,duck,21
validation,lizard,21
validation,crab,21
validation,goose,21
validation,gorilla,21
validation,jaguar,18
validation,sheep,21
validation,lynx,21
validation,butterfly,21
validation,panda,21
validation,goat,21
validation,deer,21
validation,peacock,21
validation,dog,45
validation,whale,21
validation,kangaroo,21
validation,seal,21
validation,cheetah,21
validation,cow,21
validation,iguana,21
validation,hippopotamus,21
validation,fox,21
validation,cat,43
validation,donkey,21
validation,raccoon,21
validation,blackbird,21
validation,buffalo,21
validation,koala,21
validation,crocodile,21
validation,dolphin,21
validation,hyena,21
validation,porcupine,21
validation,bear,21
validation,squid,21
validation,spider,21
validation,eagle,21
validation,bison,21
validation,owl,21
validation,otter,21
validation,snail,21
validation,wolf,21
test,lemur,44
test,snake,44
test,elephant,59
test,frog,63
test,chimpanzee,44
test,chinchilla,44
test,flamingo,44
test,mongoose,44
test,ostrich,44
test,ferret,44
test,camel,44
test,bee,44
test,mole,36
test,penguin,44
test,leopard,44
test,hawk,44
test,hedgehog,44
test,walrus,44
test,falcon,44
test,grasshopper,44
test,beaver,44
test,antelope,44
test,giraffe,44
test,duck,44
test,lizard,44
test,crab,44
test,goose,44
test,gorilla,44
test,jaguar,38
test,sheep,44
test,lynx,44
test,butterfly,44
test,panda,44
test,goat,44
test,deer,44
test,peacock,44
test,dog,92
test,whale,44
test,kangaroo,44
test,seal,44
test,cheetah,44
test,cow,44
test,iguana,44
test,hippopotamus,44
test,fox,44
test,cat,87
test,donkey,44
test,raccoon,44
test,blackbird,44
test,buffalo,44
test,koala,44
test,crocodile,44
test,dolphin,44
test,hyena,44
test,porcupine,44
test,bear,44
test,squid,44
test,spider,44
test,eagle,44
test,bison,44
test,owl,44
test,otter,44
test,snail,44
test,wolf,44
